Pizza: Margherita, Pizza price: 60, Pizza number: 1
Pizza: Pepperoni, Pizza price: 70, Pizza number: 2
Pizza: Hawaiian, Pizza price: 75, Pizza number: 3
Pizza: BBQ Chicken, Pizza price: 85, Pizza number: 4
Pizza: Vegetarian, Pizza price: 65, Pizza number: 5
Pizza: Meat Lovers, Pizza price: 90, Pizza number: 6
Pizza: Four Cheese, Pizza price: 80, Pizza number: 7
Pizza: Buffalo Chicken, Pizza price: 95, Pizza number: 8
Pizza: Supreme, Pizza price: 100, Pizza number: 9
Pizza: Mexican, Pizza price: 85, Pizza number: 10
Pizza: Seafood Special, Pizza price: 110, Pizza number: 11
Pizza: Tuna and Sweetcorn, Pizza price: 95, Pizza number: 12
Pizza: Spicy Sausage, Pizza price: 80, Pizza number: 13
Pizza: Prosciutto and Rocket, Pizza price: 90, Pizza number: 14
Pizza: Mushroom and Truffle Oil, Pizza price: 120, Pizza number: 15
Pizza: Calzone, Pizza price: 85, Pizza number: 16
Pizza: Carbonara Pizza, Pizza price: 90, Pizza number: 17
Pizza: Pesto and Chicken, Pizza price: 95, Pizza number: 18
Pizza: Gorgonzola and Pear, Pizza price: 110, Pizza number: 19
Pizza: Salami and Olive, Pizza price: 80, Pizza number: 20
Pizza: Spinach and Ricotta, Pizza price: 70, Pizza number: 21
Pizza: Greek Pizza (Feta and Olives), Pizza price: 75, Pizza number: 22
Pizza: Zucchini and Goat Cheese, Pizza price: 85, Pizza number: 23
Pizza: Egg and Bacon, Pizza price: 100, Pizza number: 24
Pizza: Shrimp and Pesto, Pizza price: 90, Pizza number: 25
Pizza: Tandoori Chicken, Pizza price: 110, Pizza number: 26
Pizza: Pastrami Pizza, Pizza price: 95, Pizza number: 27
Pizza: Bolognese Pizza, Pizza price: 85, Pizza number: 28
Pizza: Quattro Stagioni, Pizza price: 105, Pizza number: 29
Pizza: Lamb and Mint, Pizza price: 115, Pizza number: 30
Pizza: Margherita, Pizza price: 60, Pizza number: 1
Pizza: Pepperoni, Pizza price: 70, Pizza number: 2
Pizza: Hawaiian, Pizza price: 75, Pizza number: 3
Pizza: BBQ Chicken, Pizza price: 85, Pizza number: 4
Pizza: Vegetarian, Pizza price: 65, Pizza number: 5
Pizza: Meat Lovers, Pizza price: 90, Pizza number: 6
Pizza: Four Cheese, Pizza price: 80, Pizza number: 7
Pizza: Buffalo Chicken, Pizza price: 95, Pizza number: 8
Pizza: Supreme, Pizza price: 100, Pizza number: 9
Pizza: Mexican, Pizza price: 85, Pizza number: 10
Pizza: Seafood Special, Pizza price: 110, Pizza number: 11
Pizza: Tuna and Sweetcorn, Pizza price: 95, Pizza number: 12
Pizza: Spicy Sausage, Pizza price: 80, Pizza number: 13
Pizza: Prosciutto and Rocket, Pizza price: 90, Pizza number: 14
Pizza: Mushroom and Truffle Oil, Pizza price: 120, Pizza number: 15
Pizza: Calzone, Pizza price: 85, Pizza number: 16
Pizza: Carbonara Pizza, Pizza price: 90, Pizza number: 17
Pizza: Pesto and Chicken, Pizza price: 95, Pizza number: 18
Pizza: Gorgonzola and Pear, Pizza price: 110, Pizza number: 19
Pizza: Salami and Olive, Pizza price: 80, Pizza number: 20
Pizza: Spinach and Ricotta, Pizza price: 70, Pizza number: 21
Pizza: Greek Pizza (Feta and Olives), Pizza price: 75, Pizza number: 22
Pizza: Zucchini and Goat Cheese, Pizza price: 85, Pizza number: 23
Pizza: Egg and Bacon, Pizza price: 100, Pizza number: 24
Pizza: Shrimp and Pesto, Pizza price: 90, Pizza number: 25
Pizza: Tandoori Chicken, Pizza price: 110, Pizza number: 26
Pizza: Pastrami Pizza, Pizza price: 95, Pizza number: 27
Pizza: Bolognese Pizza, Pizza price: 85, Pizza number: 28
Pizza: Quattro Stagioni, Pizza price: 105, Pizza number: 29
Pizza: Lamb and Mint, Pizza price: 115, Pizza number: 30
Pizza: Margherita, Pizza price: 60, Pizza number: 1
Pizza: Pepperoni, Pizza price: 70, Pizza number: 2
Pizza: Hawaiian, Pizza price: 75, Pizza number: 3
Pizza: BBQ Chicken, Pizza price: 85, Pizza number: 4
Pizza: Vegetarian, Pizza price: 65, Pizza number: 5
Pizza: Meat Lovers, Pizza price: 90, Pizza number: 6
Pizza: Four Cheese, Pizza price: 80, Pizza number: 7
Pizza: Buffalo Chicken, Pizza price: 95, Pizza number: 8
Pizza: Supreme, Pizza price: 100, Pizza number: 9
Pizza: Mexican, Pizza price: 85, Pizza number: 10
Pizza: Seafood Special, Pizza price: 110, Pizza number: 11
Pizza: Tuna and Sweetcorn, Pizza price: 95, Pizza number: 12
